fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
智能验印	os	111913	data/figure/os/东省人民政府#金融工作专用章#(39).jpg					图中所示公章属于哪家政府机构？	浙江省人民政府	福建省人民政府	广东省人民政府		C 
智能验印	os	111914	data/figure/os/思施市人民政府.jpg					以下哪个选项的公司印章与图中所展示的印章相似？	恩施市人民法院	恩施市民政局	恩施市公安局		A
智能验印	os	111915	data/figure/os/昆明市工商行政管理局.jpg					昆明市的哪个工商行政管理部门在2019年01月03日启用此公章？	昆明市工商行政管理局	曲靖市工商行政管理局	玉溪市工商行政管理局		A
智能验印	os	111916	data/figure/os/海南清石环保科技有限公司.jpg					图中所示公章属于哪家公司？	海口市美兰区清石环保科技有限公司	海口市美兰区环保科技有限公司	海口市美兰区清环科技有限公司		A
智能验印	os	111917	data/figure/os/甘肃省白银市人民检察院.jpg					以下哪个单位可能是该公章的使用者？	甘肃省白银市人民政府	甘肃省白银市中级人民法院	甘肃省白银市人民检察院		C
智能验印	os	111918	data/figure/os/华容县水利局.jpg					图中所示公章属于哪家水利局？	华容县水利局	华容县水务局	华容县水政监察大队		A
智能验印	os	111919	data/figure/os/深圳市龙华新区国家税务局.jpg					以下哪个公司的公章与图中的公章相似？	深圳市龙华区国家税务局	深圳市龙华新区地方税务局	深圳市龙华新区财政局		A
智能验印	os	111920	data/figure/os/山东自胜律师事务所#法律文书专用章.jpg					图中的公章属于哪家公司？	山东白胜律师事务所	山东白胜律师事务	山东白胜律师事务所法律文书专用章		A
智能验印	os	111921	data/figure/os/望江县自然资源和规划局.jpg					图中所示公章属于哪家公司？	望江县自然资源和规划局	望江县自然资源和规划处	望江县自然资源和规划科		A
智能验印	os	111922	data/figure/os/中标华信(北京)认证中心有限公司.jpg					以下哪家公司使用的是与图中相似的公章？	中标华信（北京）认证有限公司	中标华信（南京）认证有限公司	中标华信（深圳）认证有限公司		A
智能验印	os	111923	data/figure/os/广州市公安局交通警察支队#机动大队.jpg					图中的公章属于哪个单位？	广州市公安局交通警察支队	广州市财政局	广州市税务局		A
智能验印	os	111924	data/figure/os/中国邮政通信集团山东有限公司菏泽分公司.jpg					图中所示公章属于哪家公司？	中国移动通信集团山东有限公司菏泽分公司	山东省移动通信集团有限公司菏泽分公司	山东电信集团有限公司菏泽分公司		A
智能验印	os	111925	data/figure/os/镇安县人民法院.jpg					以下哪个选项是镇安县人民法院的公章？	镇安人民法务院	镇安县法院	镇安县人民法院		C
智能验印	os	111926	data/figure/os/灌南县住房和城乡建设局#行政处罚专用章.jpg					下列哪个公司的公章与图中的公章相似？	灌南县人民政府办公室	灌南县财政局	灌南县住房和城乡建设局		C
智能验印	os	111927	data/figure/os/郑州市第四高级中学.jpg					图中所示公章属于哪家学校？	郑州市第四高级中学	开封市第四高级中学	洛阳市第四高级中学		A
智能验印	os	111928	data/figure/os/上海市人力资源和社会保障局#专用章.jpg					以下哪家公司可能与图中所示的公章有关联？	上海人力资源与社会保障局	上海社会保险管理局	上海人才开发交流服务中心		A
智能验印	os	111929	data/figure/os/秦皇岛阳光酒店用品有限公司.jpg					图中所示公章属于哪家公司？	秦皇岛阳光酒店用品有限公司	秦皇阳光酒店用品有限公司	皇岛阳光酒店用品有限公司		A
智能验印	os	111930	data/figure/os/四川省装配式建筑产业协会.jpg					以下哪个选项的公司公章与图中的公章相似度最高？	四川装配式建筑产业协会	四川省装配式建筑施工行业协会	四川省装配式建筑产业发展协会		A
智能验印	os	111931	data/figure/os/昆山市人民政府.jpg					图中所示公章属于哪家政府机构？	昆明市人民政府	南京市人民政府	无锡市人民政府		A
智能验印	os	111932	data/figure/os/新绛县中信焦化厂#财务专用章.jpg					图中所示公章属于哪家公司？	山西新绛县中信焦化厂	山西新绛县中信石化厂	山西新绛县中信炼油厂		A
智能验印	os	111933	data/figure/os/河南省上蔡第一高级中学.jpg					以下哪个选项的公司公章与图中的公章相似？	河南上蔡县第一高级中学	河南省上蔡市第一中学	河南省上蔡县第二高级中学		A
智能验印	os	111934	data/figure/os/洛阳德中原电子科技有限公司.jpg					图中所示公章属于哪家公司？	洛阳德中原网络科技有限公司	洛阳德中原电子科技有限公司	洛阳德中原商贸有限公司		B
智能验印	os	111935	data/figure/os/汕头市公安局交通警察支队#金平大队.jpg					图中所示公章属于哪家公安局交通警察支队？	汕头市公安局交通警察支队	杭州市公安局交通警察支队	深圳市公安局交通警察支队		A
智能验印	os	111936	data/figure/os/浙江绿银律师事务所.jpg					图中的公章属于哪一家律所？	浙江绿银律师事务所	江苏绿银律师事务所	安徽绿银律师事务所		A
智能验印	os	111937	data/figure/os/宣宾市公安局.jpg					图中的公章属于哪个公安局？	宜宾市公安局	杭州市公安局	深圳市公安局		A
智能验印	os	111938	data/figure/os/临县人民医院.jpg					以下哪个选项的公司公章与图示公章相似？	临县人民医院	临县中医院	临县公安局		A
