fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融实体关系解读	hg	110373	data/figure/hg/2024-09-25--中邮证券-宏观观点：日本自民党总裁选举：多人混战，史无前例_page4_图表3自民党总裁选举投票预测.jpg					在自民党总裁选举中，哪位候选人的支持者数量最少？	加藤胜信	林芳正	上川阳子		A
金融实体关系解读	frg	110529	data/figure/frg/2023-06-21--汽车零部件-岱美股份-遮阳板全球龙头，二次成长曲线拉开帷幕_page4_图表1公司发展历程.jpg					2008年，上海岱美汽车内饰件有限公司完成了股份改制，这是否意味着公司已经实现了完全的股权分散？	是	否	不确定		B
金融实体关系解读	frg	110530	data/figure/frg/2023-08-04--软件开发-国子软件-北交所新股申购报告：资产管理数字化服务商，专注行政及教育领域_page3_图2韩承志为公司控股股东及实际控制人合计控制公司9135股份的表决权.jpg					国子软件的控股股东是谁？	韩承志	庞瑞英	其他31名员工		A
金融实体关系解读	frg	110532	data/figure/frg/2023-11-24--有色金属-神火股份-煤铝双驱，顺周期有望推动估值修复_page6_图3公司发展战略.jpg					神火股份的战略目标是什么？	做强实体经济、实现企业健康发展	煤电铝一体化，巩固优化上下游	强化资本运作、寻求投资机会		A
金融实体关系解读	frg	110533	data/figure/frg/2022-12-11--互联网服务-太极股份-公司首次覆盖报告：数字政府建设迎东风，信创业务发展正当时_page3_no_caption.jpg					中电太极（集团）有限公司的控股股东是谁？	中国电子科技集团	中电科投资控股有限公司	太极计算机股份有限公司		A
金融实体关系解读	frg	110536	data/figure/frg/2022-11-22--软件开发-恒华科技-首次覆盖报告：新能源隐形IT龙头，多轮驱动有望迎业绩拐点_page7_图表8公司股权结构.jpg					罗新伟通过直接和间接持股对北京恒华伟业科技股份有限公司的持股比例是多少？	12.74%	100%	无法确定		C
金融实体关系解读	frg	110537	data/figure/frg/2023-03-06--家电行业-德业股份-逆变器后起之秀，拓展光储赛道迎新发展_page15_图26光伏逆变器以及储能逆变器的产业链定位.jpg					在光伏系统集成商和安装商之间，谁是主要的设备供应商？	光伏系统设计商	设备供应商	终端用户		B
金融实体关系解读	frg	110538	data/figure/frg/2023-05-12--半导体-芯源微-业绩同比高增，产品结构持续优化_page1_图2公司股权结构.jpg					沈阳先进制造技术产业有限公司的股东结构中，个人股东持股比例是多少？	82.86%	17.14%	0%		A
金融实体关系解读	frg	110540	data/figure/frg/2023-07-13--通用设备-华曙高科-工业级增材设备国内龙头，高分子材料＋增材产品打开第二成长曲线_page7_图5公司股权结构图.jpg					湖南美纳科技有限公司的股东结构中，个人股东持股比例之和是否超过50%？	是	否	无法确定		A
金融实体关系解读	frg	110541	data/figure/frg/2023-10-16--化学制品-巨化股份-公司深度报告：氟化工有望进入长期景气周期，龙头一体化优势尽显_page5_图1巨化股份发展历程.jpg					巨化股份在2005年投资建设的生产线是哪种类型的生产线？	R134a生产线	三氯乙烯生产线	PVDF生产线		A
金融实体关系解读	frg	110545	data/figure/frg/2023-12-04--文化传媒-海看股份-大屏主业稳拓展，视听业态谋新篇_page15_图表28OTTTV内容提供方同集成服务平台合作情况.jpg					银河互联网电视和广东南方新媒体的合作模式是什么？	直接合作	间接授权	共同运营		B
金融实体关系解读	frg	110546	data/figure/frg/2023-11-27--煤炭行业-华阳股份-公司首次覆盖报告：华阳股份：立足煤炭主业，积极转型发展_page6_图1华阳股份股权结构.jpg					华阳股份的直接股东是谁？	山西省国有资本运营有限公司	中国信达资产管理股份有限公司	山西焦煤集团有限责任公司		A
金融实体关系解读	frg	110548	data/figure/frg/2023-05-18--半导体-圣邦股份-品类持续深挖，高端加速推进，模拟龙头稳健发展_page7_图2公司发展历程.jpg					2018年圣邦股份通过哪一次收购获得了大连阿尔法模拟技术和钰泰半导体？	收购上海方泰	收购上海萍生和杭州深谙	收购大连阿尔法模拟技术和钰泰半导体		C
金融实体关系解读	frg	110549	data/figure/frg/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page4_图1公司历史沿革.jpg					在2001年之前，金田股份的主要业务是什么？	铜加工	电工材料	无氧铜丝生产		A
