type	index	image	question	A	B	C	D	answer
lc	1	data/figure/lc/2024-03-20--交银国际证券-中国宏观：设备更新与循环经济带来的投资机会_page7_图表5中国科研费用占GDP比重仍有提升空间.jpg	根据图表，哪个国家的科研费用占GDP比重在2021年至2024年间增长最快？	中国	美国	无法确定	韩国	C
lc	2	data/figure/lc/2023-12-09--华金证券-华金宏观·双循环周报（第35期）：CPI走弱非农转强，中美央行如何抉择？_page10_图15美国短端国债收益率本周上行较多.jpg	观察图表，哪个期限的国债收益率在2020年12月8日和2020年12月1日之间变化最大？	3M	无法确定	5Y	10Y	B
lc	3	data/figure/lc/2024-07-16--华泰期货-中国2024年上半年经济数据图景：形有波动、势仍向好_page5_图96月生产资料PPI同比mathbf08丨单位YOY.jpg	在2020年至2025年间，哪个指标的PPI同比变化经历了最大的波动？	生产资料	无法确定	原料	加工	B
lc	4	data/figure/lc/2024-05-09--国金证券-2024年4月经济数据前瞻：4月经济前瞻：“量增”强于“价涨”_page11_图表324月CCFI东南亚指数显著回弹.jpg	2018年CCFI东南亚航线指数在哪个月份达到最低点？	1月	4月	无法确定	10月	C
lc	5	data/figure/lc/2024-07-05--中国银河-宏观动态报告：汇率来到关键位置_page2_图61年期NDF隐含的汇率预期.jpg	1年期NDF隐含的汇率预期在2023年1月至2024年12月期间的最大波动幅度出现在哪个月？	2023-08	2023-11	2024-03	无法确定	D
lc	6	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page14_图27猪肉价格节后降幅较大.jpg	2018年猪肉批发价格在哪个月份达到峰值？	6月	无法确定	10月	12月	B
lc	7	data/figure/lc/2024-09-02--西南证券-宏观周报：积极应对人口老龄化，国际油价波动增大_page6_图1布伦特WTI原油现货价格同比增速下降更新至2024年8月29日.jpg	在2020年，哪种原油的现货价格同比增速更接近于零？	无法确定	美国西德克萨斯中级轻质原油(WTI)	两者相同	无法确定	A
lc	8	data/figure/lc/2024-01-29--国金证券-海外周度观察：美国大选：特朗普归来，这次不一样？_page12_no_caption.jpg	从2021年4月至2022年1月，哪个行业的活跃职位数量下降幅度最大？	制造业	餐饮服务	无法确定	专业服务	C
lc	9	data/figure/lc/2024-08-19--浙商期货-宏观周报：国内7月CPI数据回升，但PPI数据劈叉_page5_no_caption.jpg	在2024年至2025年间，政府债券融资规模在哪个月份达到峰值？	2022-07-31	2022-12-31	无法确定	2023-09-30	C
lc	10	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page13_图23沥青库存继续上行.jpg	图中显示，2025年的沥青库存趋势与哪一年最相似？	2019年	2021年	2022年	无法确定	D
