fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融信息识别	lc	110006	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page9_图27CCFI综合指数续升点.jpg					图中2021年与2022年的交点在哪个月份？	6月1日	8月1日	10月1日		B
金融信息识别	lc	110011	data/figure/lc/2023-07-10--东吴证券-宏观周报：货币政策刺激效果缘何“钝化”？_page13_图25磨机运转率同样小幅上行.jpg					根据图表，哪一年的磨机运转率波动最大？	2019年	2020年	2021年		B
金融信息识别	lc	110017	data/figure/lc/2024-05-22--国金证券-见微知著系列之七十六：工业品涨价的“复苏”逻辑_page6_图表112024年PTA价格指数维持高位.jpg					观察图表，哪一年的南华PTA价格指数波动最大？	2020	2021	2022		A
金融信息识别	lc	110022	data/figure/lc/2024-07-07--民生证券-高频数据跟踪周报：本周地产销售季节性回落_page10_图29CICFI综合指数下降点.jpg					图中2021年至2022年CICFI综合指数的变化趋势是？	持续上升	先升后降	持续下降		B
金融信息识别	lc	110024	data/figure/lc/2023-11-26--东海证券-宏观周报：地产销售恢复偏缓，风险化解力度加大_page7_图8美元兑人民币汇率与美元指数.jpg					观察图表，哪个时间段的美元指数达到最高点？	23-Sep	23-Oct	23-Nov		B
金融信息识别	lc	110026	data/figure/lc/2024-07-15--中泰证券-全球7月宏观跟踪：美联储降息预期升温，全球制造业景气微降_page21_图表20122024年美国核心CPI与核心PCE数据.jpg					图中显示，美国核心CPI在哪一年开始显著上升？	2020	2021	2022		B
金融信息识别	lc	110035	data/figure/lc/2024-07-12--民生证券-2024年6月外贸数据点评：三条线索，出口还能强多久？_page2_图3中国出口价格显著低于全球.jpg					根据图表，哪一年中国出口价格与全球出口价格差距最大？	2008	2014	2021		A
金融信息识别	lc	110041	data/figure/lc/2024-07-18--上海证券-2024年6月经济数据点评：消费走弱，经济仍需巩固_page4_图3固定投资完成额增速累计同比.jpg					根据图表，第三产业在哪一年达到了最低点？	23-Jun	23-Oct	24-Feb		B
金融信息识别	lc	110053	data/figure/lc/2023-05-08--招商银行-2023年4月宏观经济月报：海外衰退渐近，国内复苏分化_page8_服务业生产明显修复.jpg					图中2021年的最高点是多少？	30	35	40		A
金融信息识别	lc	110056	data/figure/lc/2023-10-31--海通国际-海外经济政策跟踪：美国库存如何了？_page3_图3制造商零售商与批发商库存百万美元.jpg					图中制造商库存在哪一年达到峰值？	21-Aug	22-Aug	23-Aug		B
金融信息识别	lc	110064	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page6_图表9Sahm法则.jpg					图中Sahm rule在2020年的峰值是多少？	9.5	8.5	7.5		A
金融信息识别	lc	110068	data/figure/lc/2023-06-24--国金证券-见微知著系列之五十五：基建落地“新”变化？_page14_图表54全国新房成交水平显著低于过往.jpg					图中2023年哪个月份的成交面积最低？	1月	2月	3月		B
金融信息识别	lc	110071	data/figure/lc/2023-06-27--西南证券-宏观周报：原材料价格周环比回升，地产假期销售改善_page2_图86月乘用车日均销量同比下降.jpg					图中哪一年的乘用车日均销量波动最大？	2019	2020	2021		B
金融信息识别	lc	110072	data/figure/lc/2023-10-16--开源证券-9月通胀数据点评：大宗商品涨价驱动PPI环比回升_page5_图8PPI重点工业品价格涨多跌少.jpg					图中煤炭开采和洗选业在哪个时间段内波动最大？	2021-09至2022-03	2022-05至2022-09	2023-01至2023-05		A
金融信息识别	lc	110073	data/figure/lc/2024-02-27--华安证券-大类资产配置月报第32期：2024年3月：政策博弈加剧，关注“两会”与美联储降息时点_page27_新开工下行降幅逐步收窄.jpg					图中螺纹钢活跃合约收盘价月均值在哪一年达到峰值？	2020	2021	2022		B
金融信息识别	lc	110075	data/figure/lc/2024-09-03--山西证券-海外经济周观察_page4_图624Q2实际个人消费支出环比折年率上升.jpg					根据图表，哪个季度的实际个人消费环比折年率最低？	2022年3月	2022年6月	2022年9月		A
金融信息识别	lc	110079	data/figure/lc/2024-08-13--国信证券-宏观经济专题研究：若美降息周期开启，谁受益？谁受损？_page4_图4纳斯达克暴跌后美联储仍在大幅加息.jpg					图中2000年3月10日纳斯达克指数的最高点是多少？	5049	5200	5500		A
金融信息识别	lc	110082	data/figure/lc/2024-02-26--中国银河-中央财经委第四次会议解读：新一轮朱格拉周期的可能性_page2_图2金融机构加权平均利率保持下行趋势.jpg					图中显示，哪一年金融机构人民币贷款加权平均利率:一般贷款达到最低点？	2021	2022	2023		C
金融信息识别	lc	110088	data/figure/lc/2023-11-22--招银国际-2024年美国经济展望：在软着陆与温和衰退之间_page11_图31通胀预期与企业库存环比增速.jpg					观察图表，哪个年份的库存环比增速达到峰值？	2010	2013	2022		C
金融信息识别	lc	110095	data/figure/lc/2024-01-11--国金证券-“宏观基本面”系列：温和通胀的微观基础？_page9_图表24居民可支配收入处于修复通道.jpg					根据图表，哪一年城镇居民消费性支出增速达到最低点？	2019年	2020年	2021年		B
