type	index	image	question	A	B	C	D	answer
lc	1	data/figure/lc/2023-07-23--东吴证券-宏观点评：美国房地产：软着陆到底是不是伪命题？_page1_图4加息导致房地产供过于求.jpg	住宅完工至销售月数中位数在哪个时间段内显著上升？	1985-1989	1994-1999	2004-2008	2018-2023	C
lc	2	data/figure/lc/2023-05-25--华泰期货-经济高频数据追踪_page31_空调产量当月值万台.jpg	哪一年的空调产量在10月降至最低？	2023	2022	2021	2019	D
lc	3	data/figure/lc/2023-12-17--中国银河-2024年中国经济展望：《变局·重构》_page11_图16日本危机期间的财政政策过于保守.jpg	企业部门杠杆率在哪一年达到峰值？	1993	1995	1997	1999	A
lc	4	data/figure/lc/2024-08-30--华泰期货-中国货币政策系列七：央行现券买断交易支持特别国债到期续作_page5_图7国债收益率曲线变动丨单位.jpg	SLF（亿元）在哪一年达到峰值？	2020	2021	2022	2023	A
lc	5	data/figure/lc/2023-07-17--国信证券-宏观经济宏观周报：7月上旬国内生产资料价格继续上涨，PPI环比或转正_page0_市场走势.jpg	工业增加值月度同比增速在哪段时间内出现最低点？	2022年12月	2023年2月	2023年4月	2023年6月	B
lc	6	data/figure/lc/2024-05-09--国金证券-2024年4月经济数据前瞻：4月经济前瞻：“量增”强于“价涨”_page17_no_caption.jpg	根据图表，2022年全国水泥价格指数在哪个月份达到最低点？	1月	6月	8月	12月	C
lc	7	data/figure/lc/2024-06-28--信达证券-美西方制裁俄罗斯的复盘及启示_page17_图19俄乌冲突后俄罗斯的经济状况比预期要好.jpg	图中哪一年的GDP实际增长率最高？	2004	2000	2006	2010	B
lc	8	data/figure/lc/2023-04-03--平安证券-国内宏观周报：地产高频指标显著改善_page8_图表36本周蔬菜水果及猪肉批发价下跌鸡蛋价格上涨.jpg	哪一周猪肉批发价的环比下降幅度最大？	3月10日	3月17日	3月24日	3月31日	B
lc	9	data/figure/lc/2024-07-01--华泰期货-宏观利率图表189：滞胀的定价_page10_no_caption.jpg	图中哪一年的数据在9X12时最低？	2024/5/29	2024/6/27	2023/6/28	无法确定	B
lc	10	data/figure/lc/2023-05-15--华泰期货-宏观利率图表138：增加对远期乐观的定价_page10_图193个月港元LIBOR互换期限结构丨单位.jpg	在图中，哪一年的港元LIBOR互换期限结构在O/N时最低？	2023/5/11	2023/4/12	2022/5/11	所有年份相同	C
lc	11	data/figure/lc/2024-02-29--国信证券-宏观经济专题研究：复盘中国汽车产业史_page4_图2建国初期公路里程较低.jpg	美国营业里程在哪个时间段内基本保持稳定？	1950-1970	1970-1990	1990-2010	2010-2020	B
lc	12	data/figure/lc/2023-08-25--中银证券-宏观专题：“一带一路”对外需的补充如何？_page9_图表20部分对俄贸易产品对顺差同比增速的贡献度.jpg	图中显示，对俄汽车贸易对贸易顺差的贡献在哪一年达到峰值？	2022	23-Mar	23-Jun	2024	B
lc	13	data/figure/lc/2024-06-03--国联证券-对5月PMI和高频数据的思考及未来经济展望：工业产出或好于PMI读数_page5_图表7大中小企业PMI生产指数季调.jpg	在哪个时间段，小型企业的PMI生产指数最低？	2021-07至2021-09	2022-03至2022-05	2022-09至2022-11	2023-03至2023-05	B
lc	14	data/figure/lc/2023-05-28--国联证券-全球货币体系的大变局：去美元化、债务困境和黄金石油的机会_page13_图表19外国持有美国国债的情况亿美元.jpg	图中同比变化金额的最大峰值出现在哪个时间段？	2015/9/1	2017/9/1	2019/9/1	2021/9/1	C
lc	15	data/figure/lc/2024-08-13--国信证券-宏观经济专题研究：若美降息周期开启，谁受益？谁受损？_page4_图4纳斯达克暴跌后美联储仍在大幅加息.jpg	纳斯达克指数在哪一年达到峰值？	1999	2000	2001	2002	B
lc	16	data/figure/lc/2024-07-12--交银国际证券-美国6月CPI点评：通胀回落，但降息判断仍需审慎_page3_图表8租金指数与住房通胀.jpg	美国CPI同比增速在哪一年开始显著上升？	2010	2015	2020	2025	C
lc	17	data/figure/lc/2024-07-08--国泰期货-海外宏观及大类资产周度报告_page24_大宗商品与全球权益和国债指数相对强弱.jpg	哪条折线在2024年6月的值最低？	彭博大宗商品指数/MSCI全球指数	彭博大宗商品指数/全球国债集合指数	10年期美债收益率	MSCI全球指数	A
lc	18	data/figure/lc/2023-04-25--华泰期货-经济高频数据追踪_page8_北京2手房成交7日平均平方米.jpg	在2021年，哪个时间段的数值最高？	1-50	51-100	101-150	151-200	C
lc	19	data/figure/lc/2023-04-20--华泰期货-经济高频数据追踪_page30_家用电冰箱产量当月值万台.jpg	哪一年的家用电冰箱产量在12月最低？	2018	2019	2020	2021	A
lc	20	data/figure/lc/2023-07-24--宏信证券-市场流动性周报_page3_图7美元兑人民币中间价和即期汇率走势.jpg	图中显示，哪条线代表美元兑离岸人民币即期汇率？	红色	蓝色	绿色	黑色	C
lc	21	data/figure/lc/2024-02-02--国金证券-12月财政数据点评：基建类财政支出强度继续提升_page2_图表12023年12月广义财政支出继续加力.jpg	在哪个时间段，广义财政支出增速达到最高点？	2020-12至2021-03	2021-06至2021-09	2022-03至2022-06	2023-03至2023-06	A
lc	22	data/figure/lc/2023-06-19--东吴证券-宏观周报：5月财政：紧跟经济步“乏”_page16_no_caption.jpg	图中哪一年的沥青开工率最低？	2019年	2020年	2021年	2022年	D
lc	23	data/figure/lc/2024-07-18--上海证券-2024年6月经济数据点评：消费走弱，经济仍需巩固_page4_图3固定投资完成额增速累计同比.jpg	第二产业在哪个时间段内增速最快？	2021/08 - 2021/10	2021/12 - 2022/02	2022/04 - 2022/06	2023/04 - 2023/06	B
lc	24	data/figure/lc/2023-07-31--国金证券-见微知著系列之五十八：库存周期下，蕴藏的投资机遇_page8_图表22螺纹钢库存和价格都偏低.jpg	图中哪一年的期货结算价最低？	2016年	2017年	2018年	2019年	A
lc	25	data/figure/lc/2023-10-13--国联证券-美国9月CPI数据点评：通胀数据略超预期，美联储或继续鹰派姿态_page7_图表13核心商品CPI的主要分项同比.jpg	观察图表，哪个类别的CPI在2023年5月最低？	服装	新交通工具	二手汽车和卡车	医疗护理商品	C
