fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
财务数据统计	lc	110001	data/figure/lc/2024-07-03--联储证券-2024年中宏观展望：固本培元，如日之升_page8_图1215月固定资产投资主要由制造业拉动.jpg					在2023年5月至2024年5月期间，房地产开发投资同比增速在哪个月份最低？	23-Jul	23-Dec	24-May		C
财务数据统计	lc	110003	data/figure/lc/2024-07-09--国联证券-美国6月非农就业数据点评：失业率升破美联储6月预期_page16_图表33非农就业总人数单位百万人.jpg					哪一年非农就业人数首次超过疫情前水平？	2021	2022	2023		B
财务数据统计	lc	110004	data/figure/lc/2023-06-12--国金证券-海外周度观察：GDP和GDI的“背离”与“真相”-美国经济重现“技术性衰退”_page12_no_caption.jpg					2022年9月，哪个国家的航班飞行次数最高？	英国	意大利	法国		A
财务数据统计	lc	110005	data/figure/lc/2024-08-19--中航证券-2024年7月经济数据点评：内需修复进程是后续经济走势的关键_page7_图6固投及主要分项当月同比走势.jpg					在哪个时间段，基础设施建设投资同比增长率首次超过10%？	20-Apr	20-Jul	21-Jan		A
财务数据统计	lc	110008	data/figure/lc/2023-08-17--光大期货-7月经济数据点评_page10_图表13房地产销售面积和销售金额当月同比单位.jpg					商品房销售金额在哪段时间内波动最为剧烈？	2021-06至2021-12	2022-01至2022-06	2022-07至2022-12		B
财务数据统计	lc	110009	data/figure/lc/2023-05-28--国联证券-全球货币体系的大变局：去美元化、债务困境和黄金石油的机会_page13_图表19外国持有美国国债的情况亿美元.jpg					哪一年外国持有美债的总量首次突破70000亿美元？	2015年	2017年	2019年		C
财务数据统计	lc	110010	data/figure/lc/2024-08-21--上海证券-2024年7月经济数据点评：增强经济回升向好态势_page3_图1三大行业工业增加值增速同比.jpg					采矿业增加值增速在哪一年出现了显著下降？	2016	2018	2020		C
财务数据统计	lc	110012	data/figure/lc/2024-04-17--天风证券-宏观：经济数据缘何超预期_page2_no_caption.jpg					在哪个时间段，制造业拉动的增长率首次超过房地产开发投资拉动？	2021-02至2021-08	2022-02至2022-08	2023-02至2023-08		B
财务数据统计	lc	110013	data/figure/lc/2023-04-19--万联证券-3月经济数据点评：经济仍处复苏前期，消费支撑作用加强_page7_图表18居民可支配收入持续修复.jpg					图中哪一年居民人均可支配收入累计名义同比最高？	2021年	2022年	2023年		A
财务数据统计	lc	110014	data/figure/lc/2024-03-27--信达证券-能耗目标：政策梳理和影响测算_page20_图20我国焦炭钢材出口量.jpg					钢材出口量在哪一年达到峰值？	2016	2018	2020		A
财务数据统计	lc	110015	data/figure/lc/2023-06-12--国金证券-海外周度观察：GDP和GDI的“背离”与“真相”-美国经济重现“技术性衰退”_page8_图表19基于GDP的衰退预测模型.jpg					在哪个时间段，GDP衰退概率达到最高点？	1959-1960	2008-2009	2020-2021		C
财务数据统计	lc	110016	data/figure/lc/2024-02-22--中国银河-宏观专题报告：美国库存回升，中国出口转正_page0_图出口是工业企业利润的决定性因素.jpg					在哪个年份，出口年度同比增速达到最低点？	2009	2016	2020		A
财务数据统计	lc	110018	data/figure/lc/2023-04-10--平安证券-美国3月非农就业数据解读：美联储会停止加息么？_page3_图表74月7日美债收益率上升.jpg					2023年2月至3月，2年美债利率的变化趋势是？	上升	下降	先升后降		A
财务数据统计	lc	110019	data/figure/lc/2024-05-30--大同证券-4月份工业企业利润数据解读：经济温差或侵蚀盈利，补库开启仍需观察_page1_图表24月份出口增速明显回升.jpg					哪一年出口金额当月同比达到最高点？	24-Jan	24-Feb	24-Mar		B
财务数据统计	lc	110020	data/figure/lc/2024-01-05--国海证券-2024年十大关键词_page4_图表海外经济疲弱我国出口或承压.jpg					美国制造业PMI在哪一年达到最高点？	2020	2021	2022		B
财务数据统计	lc	110021	data/figure/lc/2024-07-08--国泰期货-海外宏观及大类资产周度报告_page19_中国央行黄金与外汇储备.jpg					外汇持有量在哪个年份达到最低点？	2016	2018	2020		A
财务数据统计	lc	110023	data/figure/lc/2024-02-25--东吴证券-国内宏观经济周报：春节后国内经济“首秀”表现如何？_page14_图28农产品价格节后回落.jpg					哪一年的农产品批发价格指数在春节后（02-10）达到最高值？	2020	2021	2022		B
财务数据统计	lc	110025	data/figure/lc/2023-05-16--东吴证券-宏观点评：4月经济：高基数“掩盖”了什么真相？_page4_no_caption.jpg					2022年8月，哪个行业的同比增长率最低？	电、热、水供应	交通仓储	水利、环境和公共设施		B
财务数据统计	lc	110027	data/figure/lc/2024-03-24--民生证券-流动性跟踪周报：R007上行至2.08%_page10_图12不同银行CD发行成功率.jpg					2024年2月，哪种银行的CD发行成功率最低？	城商行	股份行	农商行		A
财务数据统计	lc	110028	data/figure/lc/2024-07-11--万联证券-6月通胀数据点评：CPI延续低位，需求有待修复_page4_图表9CPI燃料相关分项走势.jpg					哪个年份OPEC一揽子石油价格达到最高点？	2021	2022	2023		B
财务数据统计	lc	110029	data/figure/lc/2022-10-28--山西证券-9月工业企业利润数据点评与A股行业盈利展望：利润增速承压，中下游持续改善_page8_图22钢铁9月利润增速或持续下行.jpg					钢铁行业在哪个时间段归母净利润同比增速持续为负？	2014-2015	2018-2019	2020-2021		A
财务数据统计	lc	110030	data/figure/lc/2023-10-13--国联证券-美国9月CPI数据点评：通胀数据略超预期，美联储或继续鹰派姿态_page4_图表7核becauseGP未来情景.jpg					哪条线在2023年12月达到最高点？	环比0.4%	环比0.3%	环比0.2%		A
